question,answer
Can both events (psyllid vector introduction and Liberibacter introduction) occur concurrently?,"Yes, they can occur simultaneously."
Is there variation in resistance among commercial citrus varieties to Liberibacter infections?,"No, there is remarkably little variation."
What is the difference between parasitism and pathogenicity?,"A parasite derives nutrition from and reproduces on or within its host(s), while a pathogen causes disease."
Can a pathogen have a wider parasitic host range than expected?,"Yes, a pathogen can have a wider parasitic host range than expected if it causes no disease or causes disease on weeds."
Why is transcontinental dispersal of pathogens and vectors a concern?,It increases opportunities for horizontal gene transfer and recombination frequencies between pathogenic variants of a species and even across genera.
Can a vector facilitate exposure of previously isolated bacterial populations to one another?,"Yes, a vector can facilitate exposure, thereby facilitating horizontal gene transfer events."
What is the result of horizontal gene transfer events?,It can result in the emergence of new and sometimes surprisingly severe disease threats.
What is the importance of understanding the parasitic and pathogenic host ranges of bacterial species?,It is crucial for predicting and managing disease threats.
Can a pathogen cause disease on all hosts?,"No, a pathogen does not always cause disease on all hosts."
Can a pathogen be asymptomatic on some hosts?,"Yes, a pathogen can be asymptomatic on some hosts, such as a Liberibacter-infected pear tree."
What is the impact of commerce and transcontinental dispersal on the spread of pathogens and vectors?,"It increases the spread of pathogens and vectors, leading to emerging and sometimes surprisingly severe disease threats."
Why is it important to distinguish between parasitism and pathogenicity?,It is important to understand the differences between parasitism and pathogenicity to predict and manage disease threats effectively.
Can a pathogen be introduced into a new region through human activity?,"Yes, a pathogen can be introduced through human activity, such as the introduction of infected and asymptomatic citrus into a previously uninfected region."
Can a vector facilitate the spread of multiple bacterial species?,"Yes, a vector can facilitate the spread of multiple bacterial species."
What is the importance of understanding the host range of a vector?,"It is crucial for predicting and managing disease threats, as the host range of a vector can limit the host range of a pathogen."
What is the genus of the bacteria that causes citrus diseases?,The genus is Xylella.
How do Xylella strains infect citrus plants?,They are injected by their vectors directly into the xylem vessels.
Why is citrus variegated chlorosis (CVC) limited to sweet orange?,It is likely due to horizontal gene transfer or recombination of host range factors.
What is the name of the Xylella subspecies that causes citrus canker?,The subspecies is Xanthomonas citri subsp. citri (XccA).
What is the name of the citrus disease caused by Xanthomonas fuscans subsp. aurantifolii (Xfa)?,The disease is known as Cancrosis B or False canker.
What is the primary causal effector of the citrus canker disease phenotype?,"The primary causal effector is the pthA gene, which encodes a eukaryotic transcriptional activator-like (TAL) protein effector."
What is the name of the bacterial disease that causes witches' broom disease of lime and HLB-like diseases?,The disease is caused by Phytoplasma species.
What is the name of the bacterial disease that causes citrus stubborn disease?,The disease is caused by Spiroplasma citri.
What is the name of the bacterial disease that causes bacterial brown leaf spot?,The disease is caused by Burkholderia andropogonis.
What is the name of the disease caused by Xylella fastidiosa subspecies pauca (Xfp)?,The disease is known as coffee leaf scorch disease.
What is the name of the disease caused by Xylella fastidiosa subspecies morus (Xfm)?,The disease is known as blueberry leaf scorch disease.
What is the name of the disease caused by Xanthomonas citri subsp. citri (XccA) pathotype A?,The disease is known as Asiatic citrus canker (ACC).
What is the name of the disease caused by Xanthomonas fuscans subsp. aurantifolii (Xfa) pathotype B?,The disease is known as Cancrosis B.
What is the name of the disease caused by Xanthomonas fuscans subsp. aurantifolii (Xfa) pathotype C?,The disease is known as Cancrosis C or Canker C.
What is the name of the bacterium that causes citrus canker?,The bacterium is Xanthomonas citri subsp. citri (XccA).
What is the name of the bacterium that causes citrus stubborn disease?,The bacterium is Spiroplasma citri.
What is the name of the bacterium that causes witches' broom disease of lime and HLB-like diseases?,The bacterium is Phytoplasma species.
What is the name of the bacterium that causes bacterial brown leaf spot?,The bacterium is Burkholderia andropogonis.
What is the name of the bacterium that causes coffee leaf scorch disease?,The bacterium is Xylella fastidiosa subspecies pauca (Xfp).
What is the name of the bacterium that causes blueberry leaf scorch disease?,The bacterium is Xylella fastidiosa subspecies morus (Xfm).
What is the name of the bacterium that causes citrus canker disease?,The bacterium is Xanthomonas citri subsp. citri (XccA).
What is the name of the bacterium that causes citrus stubborn disease?,The bacterium is Spiroplasma citri.
What is the name of the bacterium that causes witches' broom disease of lime and HLB-like diseases?,The bacterium is Phytoplasma species.
What are the three bacterial pathogens of citrus mentioned in the chapter?,"Citrus canker, citrus variegated chlorosis, and Huanglongbing."
What is the name of the pathotype of Xcc that causes mild symptoms and is limited to Mexican lime?,XccA*.
Where were XccA* strains first discovered?,"In Oman, Saudi Arabia, Iran, and India."
What is the host range of XccAW pathotype?,Limited to Mexican lime and lemon.
What is the reaction of grapefruit to XccAW strains?,Strong hypersensitive response (HR).
What is the reaction of grapefruit to XccA* strains?,No hypersensitive response (HR).
What is the difference in virulence factors between XccA* and XccAW strains?,Minor genetic differences in one or a few virulence factors.
What is the primary symptom of ACC?,Leaf and fruit spotting disease characterized by erumpent lesions.
What are the susceptible citrus varieties to ACC?,"Most commercial citrus varieties, except grapefruit."
What is the most susceptible fruit to ACC?,Grapefruit.
How is ACC spread?,By rain splash combined with wind.
What exacerbates ACC epidemics?,Asian citrus leaf miner (Phyllocnistis citrella).
What is the effect of leaf miner on ACC?,Creates wounds that expose leaf mesophyll tissues to splashed inoculum.
How does wind speed affect ACC damage?,Damage can range from nominal to significant when wind speeds exceed 8m/s.
How long can inoculum release persist after wetting of lesions?,Several hours.
How far can bacterial aerosols spread due to wind and rain?,From a few cm to several km.
What can reduce wind speed and trap windblown inoculum?,Natural windbreaks such as conifers or hardwood trees with interlocking canopies.
How can citriculturists control ACC?,"By controlling wind and rain, and using natural windbreaks."
Where can ACC effectively be controlled?,In Argentina.
What is the name of the figure that shows Asiatic citrus canker lesions?,Figure 18.1.
What is a natural way to control citrus canker?,Using natural windbreaks to surround plantings can be an effective method.
How is citrus canker spread?,"Citrus canker is spread through human contact, contaminated clothing, vehicles, equipment, and animals."
What happens when foliage is wet and comes into contact with citrus canker bacteria?,The bacteria ooze from the lesions and can be transferred to other trees.
Why is eradication the best approach to controlling newly introduced citrus canker?,Eradication is the best approach to avoid the cost of quarantines and trade impediments.
What is the impact of citrus canker on commerce and trade?,"Citrus canker can significantly impact commerce and trade, resulting in restricted interstate and international transport and sale of fruit."
How can citrus canker be introduced to citriculture?,"Citrus canker can be introduced through the movement of infected plants, contaminated equipment, or by animals."
What is the incubation period for citrus canker?,"The incubation period for citrus canker can be several weeks, during which the infected plants may not show symptoms."
How long can subclinical infections persist?,Subclinical infections can persist for 10-14 days before symptoms appear.
Why is eradication complex in practice?,"Eradication is complex because it can be difficult to recognize newly infected plants, and the disease may be widespread and diffuse."
What is the average time of detection in residential areas?,The average time of detection in residential areas is around 108 days post-infection.
Why do eradication programs sometimes fail?,"Eradication programs may fail due to social tolerance issues, as commercial growers and homeowners may resist the removal of healthy but potentially infected trees."
Which countries have successfully eradicated citrus canker?,"South Africa, Australia, the Fiji Islands, Mozambique, New Zealand, and the United States have successfully eradicated citrus canker."
Why was the eradication program in Northeast Argentina unsuccessful?,The eradication program in Northeast Argentina failed due to grower's reluctance to remove large proportions of commercial trees.
What was the outcome of the eradication program in Florida?,"The eradication program in Florida was initially successful, but the disease was re-introduced and a new eradication program was launched."
What was the cost of the eradication program in Florida?,The eradication program in Florida cost approximately $1 billion dollars.
Why did the eradication program in Florida face legal conflicts?,The eradication program in Florida faced legal conflicts between the state and federal authorities and residential homeowners who felt that the regulations were too costly.
What is the significance of the 579-m radius in the ACC-eradication protocol?,The 579-m radius is the distance within which all exposed trees must be removed to prevent further spread of the disease.
What is the impact of citrus canker on the citrus industry?,"Citrus canker can have a significant impact on the citrus industry, including economic losses and trade restrictions."
How can farmers prevent the spread of citrus canker?,"Farmers can prevent the spread of citrus canker by using natural windbreaks, removing infected plants, and practicing good hygiene."
"What is the importance of understanding the historical, economic, and sociopolitical context of citrus canker?","Understanding the historical, economic, and sociopolitical context of citrus canker is important to fully comprehend its impact on citriculture."
What are the main bacterial pathogens of citrus?,"Citrus canker, citrus variegated chlorosis, and Huanglongbing."
How are hurricanes and tropical storms related to the spread of citrus canker?,Hurricanes and tropical storms can cause long-range dissemination and increased local incidence of citrus canker.
What was the impact of Hurricane Wilma on the citrus industry in Florida?,"Hurricane Wilma caused massive additional spread of citrus canker, leading to the termination of the 10-year, $1 billion canker eradication program."
What is the best way to control citrus canker?,"Integration of cultural practices, such as windbreaks and leafminer control, with frequent applications of copper sprays."
Why is copper effective against citrus canker?,Copper reduces infection and is most efficacious on fruit 90 days after petal fall.
What are some susceptible citrus varieties to citrus canker?,"Grapefruit is highly susceptible, while orange and mandarins are less susceptible."
Are antibiotics effective against citrus canker?,"Yes, antibiotics like gentamicin, kasugamycin, and streptomycin have activity for canker control, but concerns about bacterial resistance and human and animal health issues raise concerns about wide-scale use."
What is a recent development in citrus canker control?,The use of nano-formulated zinc oxide has been shown to exceed the cuprous oxide and cuprous oxide/zinc oxide bactericides.
Why are quarantines and trade restrictions important for citrus canker?,"To prevent the introduction of citrus canker bacteria to new, unaffected citrus-producing areas and to maintain open markets and trade."
Who initiates pest risk assessments and risk management analysis for citrus canker?,The United States Department of Agriculture (USDA) and the Animal and Plant Health Inspection Service (APHIS).
What is the role of fruit in the spread of citrus canker?,"Fruit can be a pathway for the introduction of citrus canker bacteria to new areas, but studies have shown that harvested and packinghouse-disinfested citrus fruit are extremely unlikely to be a pathway for canker to reach and become established in canker-free areas."
What is Xylella fastidiosa?,"A Gram-negative, xylem-limited, insect-vectored and often difficult-to-culture bacterium that causes some of the most serious plant diseases worldwide and in a wide variety of hosts."
What are the five subspecies of Xylella fastidiosa?,"Xf subsp. fastidiosa, Xf subsp. pauca, Xf subsp. sandyi, Xf subsp. morus, and Xf subsp. multiplex."
What diseases do the five subspecies of Xylella fastidiosa cause?,"Pierce's disease of grapevines, citrus variegated chlorosis, leaf scorch of oleander, leaf scorch of mulberry and blueberry, and leaf scorch diseases in North America on a wide range of tree species."
Where does Xylella fastidiosa originate from?,The Americas.
What is citrus variegated chlorosis?,A disease caused by Xylella fastidiosa that affects sweet orange and coffee.
What is the impact of citrus variegated chlorosis on citrus production?,Production-limiting.
How is citrus variegated chlorosis spread?,By insect vectors.
What are the symptoms of citrus variegated chlorosis?,"Yellowing of leaves, stunted growth, and reduced fruit production."
How is citrus variegated chlorosis diagnosed?,By laboratory testing for the presence of Xylella fastidiosa in plant tissues.
What is the best way to manage citrus variegated chlorosis?,"Integrated management approach that includes cultural practices, chemical control, and biological control."
Can citrus variegated chlorosis be eradicated?,"No, it is a chronic disease that requires ongoing management."
What is the economic impact of citrus variegated chlorosis?,Significant losses in citrus production and trade.
How does citrus variegated chlorosis affect the citrus industry?,"It can lead to significant losses in citrus production and trade, and can have a negative impact on the economy."
What is the current situation of citrus variegated chlorosis in the world?,It is a widespread disease that affects citrus production worldwide.
What is Citrus Variegated Chlorosis (CVC)?,"CVC is a disease caused by the bacterium Xylella fastidiosa (Xfp) and transmitted by sharpshooters, affecting sweet orange varieties."
Where was CVC first observed?,CVC was first observed in 1984 in Argentina and 1987 in Brazil.
Which state in Brazil is most affected by CVC?,The northern region of the state of São Paulo is most affected by CVC.
What is the host range of CVC?,The host range of CVC is limited to sweet orange varieties.
How is Xfp colonization initiated?,Xfp colonization starts when the insect vector carrying the pathogen feeds on the xylem sap of a healthy tree.
What happens to the sap flow in infected trees?,"Xfp colonization leads to the obstruction of sap flow, causing symptoms characteristic of the disease."
What are the early symptoms of CVC on leaves?,"Early symptoms of CVC on leaves include small spots on both surfaces, which can coalesce and become necrotic."
What happens to affected leaves?,"Affected leaves usually abscise, leaving behind tufts of small leaves at the tips of affected branches."
What happens to the fruits of affected trees?,"Fruits on affected branches mature earlier, are smaller, harder, and more acidic than those from healthy trees."
Why are smaller fruits a problem?,Smaller fruits are a problem because more are needed to fill a commercial box of 40.8 kg.
How does disease progression vary by tree age?,Disease progression is faster in younger trees than older trees.
How does water deficit affect disease progression?,Disease progression is faster in trees exposed to seasonal water deficits.
What is the impact of CVC on fruit production?,CVC can reduce fruit production by up to 75% in affected trees.
What is the primary method of CVC management in Brazil?,The primary method of CVC management in Brazil is eradication of symptomatic citrus to reduce inoculum sources.
Can other plants harbor Xfp?,"While some arboreal plants may harbor Xfp, the low bacterium titer and short life of these hosts limit their importance as sources of CVC."
What is the life cycle of Xfp?,The life cycle of Xfp is not explicitly mentioned in the text.
Can CVC be transmitted by other means?,"The text does not mention other means of transmission, implying that sharpshooters are the primary vectors."
How does CVC affect the size and quality of fruits?,"CVC affects the size and quality of fruits, making them smaller, harder, and more acidic."
What is the economic impact of CVC?,"The economic impact of CVC includes reduced fruit production and lower quality fruits, affecting the commercial juice production and marketability."
Can CVC be cured?,The text does not mention a cure for CVC.
What is the first step in managing bacterial pathogens of citrus?,Correct identification of diseased trees is the first step in managing bacterial pathogens of citrus.
What is the condition necessary for pruning to be successful in restoring the health of diseased trees?,The tree must be over 2.5 years of age and the symptoms must be present at the tip of only one secondary branch.
What is the benefit of using Cravo Rangpur lime rootstock in controlling Xfp infection?,"The bacteria do not move downwards below the graft union into these rootstocks, allowing new healthy scions to be generated."
How does the immunity to CVC exhibited by the rootstock affect the scion?,The immunity does not transfer to the scion.
What is a critical component of CVC control?,Aggressive control of the insect vector is a critical component of CVC control.
What is the purpose of treating younger trees with systemic insecticides?,The purpose is to protect the trees from infected sharpshooters.
What is a key aspect of CVC control in the state of São Paulo?,Clean nursery tree production is a key aspect of CVC control.
How long do systemic insecticide treatments protect nursery stock?,Systemic insecticide treatments protect nursery stock for 2-3 months.
What is the recommended period for applying systemic and regular spray of contact insecticides after field planting?,The recommended period is 2 years.
What is the purpose of removing infected trees?,The purpose is to reduce inoculum pressure from neighboring groves.
What is the impact of removing infected trees on the spread of the disease?,Removing infected trees reduces the spread of the disease.
What is the benefit of grafting healthy budwood onto healthy rootstocks?,The new shoots that develop on the rootstock trunk produce new fruits faster and at lower costs.
What is the purpose of sequencing the genome of the Xfp CVC strain 9a5c?,The purpose is to understand the mechanisms of Xf pathogenicity and bacterial adaptation to the xylem sap.
What is the significance of the Xfp CVC strain 9a5c being the first plant pathogen to have its genome completely sequenced?,It allowed for the development of testable hypotheses and new insights into the mechanisms of Xf pathogenicity and bacterial adaptation.
What is the impact of the environment on disease progress and severity?,The environment has a significant impact on disease progress and severity.
What is the purpose of evaluating the responses of distinct citrus varieties and species to pathogen infection?,The purpose is to understand the impact of the pathogen on different citrus varieties and species.
What is the current incidence of CVC in the main citrus belt of Brazil?,The current incidence is less than 3.0%.
What is the estimated annual loss attributed to CVC?,The estimated annual loss is $100-120 million.
What are the cultural factors that contributed to the level of control achieved in controlling CVC?,"The cultural factors include the removal of large areas of abandoned groves, aggressive inspection and eradication program, and increased rigor and wider efforts to control the insect vector."
What is HLB?,"HLB stands for Huanglongbing, a bacterial disease that affects citrus plants."
What are the main symptoms of HLB?,"The main symptoms of HLB are asymmetric, blotchy mottles on the leaves, which is a diagnostic symptom."
What is the most common name for HLB in the Americas?,HLB is commonly called citrus greening in the Americas.
How long have reports of HLB been recorded?,"Reports of HLB date back to 1919 in Southwest Asia, 1928 in Africa, and 2004 in the American continent."
What is the primary method of transmission of HLB?,HLB is spread by the psyllid vectors Diaphorina citri and Trioza erytreae.
How many species of Liberibacter are known to cause HLB?,"There are three species of Liberibacter that are currently well described as causing HLB: Ca. L. asiaticus, Ca. L. africanus, and Ca. L. americanus."
What is the name of the disease caused by Ca. L. asiaticus?,The disease caused by Ca. L. asiaticus is commonly known as Greening in South Africa.
What is the name of the disease caused by Ca. L. americanus?,The disease caused by Ca. L. americanus is commonly known as HLB or citrus greening in the Americas.
What is the name of the psyllid that vectors HLB in India?,The psyllid that vectors HLB in India is D. citri.
What is the name of the psyllid that vectors HLB in South Africa?,The psyllid that vectors HLB in South Africa is T. erytreae.
How many species of Liberibacter are known to cause serious diseases on solanaceous crops?,Two species of Liberibacter are known to cause serious diseases on solanaceous crops.
What is the name of the disease caused by Ca. L. africanus?,The disease caused by Ca. L. africanus is commonly known as Mottle Leaf in the Philippines.
What is the name of the disease caused by Ca. L. americanus on pear?,Ca. L. americanus does not cause significant symptoms on pear.
How long has HLB been present in Asia?,HLB has been present in Asia since at least 1919.
How long has HLB been present in Africa?,HLB has been present in Africa since at least 1928.
How long has HLB been present in the Americas?,HLB was first reported in the Americas in 2004.
What is the name of the disease caused by Ca. L. asiaticus on citrus?,The disease caused by Ca. L. asiaticus is commonly known as Greening in South Africa.
What is the name of the disease caused by Ca. L. africanus on citrus?,The disease caused by Ca. L. africanus is commonly known as Mottle Leaf in the Philippines.
What is the name of the disease caused by Ca. L. americanus on celery?,Ca. L. americanus causes less serious problems on celery.
Can HLB be cultured?,"No, none of the pathogenic Liberibacters have been cultured."
Why can't HLB be cultured?,HLB bacteria have likely lost certain key genes to make them capable of axenic growth.
What is citrus canker?,Citrus canker is a bacterial disease that affects citrus plants.
What is Huanglongbing (HLB)?,"HLB is a bacterial disease that affects citrus plants, causing yellowing of leaves and other symptoms."
What is the primary cause of HLB?,"Liberibacters, a type of bacterium, are the primary cause of HLB."
How is HLB diagnosed?,"HLB is typically diagnosed through visual inspection by trained inspectors, and molecular tests such as PCR."
What is the gold standard for detecting HLB?,Polymerase chain reaction (PCR) is the current gold standard for detecting HLB.
Can canines detect HLB-infected plants?,"Yes, canines can detect HLB-infected plants with over 99% accuracy."
What are the main symptoms of HLB?,"The main symptoms of HLB include blotchy mottle of leaves, asymmetric chlorosis, and yellowing of leaves."
What is the incubation period of HLB?,The incubation period of HLB is typically around 6 months to a year after infection before symptoms start to develop.
What is the progression of HLB symptoms?,"Symptoms of HLB progress slowly, starting with pale or mild leaf mottle and eventually leading to more characteristic leaf mottle symptoms."
What are the additional symptoms of HLB?,"Additional symptoms of HLB include leaf curling, reduced leaf size, thickening of midveins, and twig dieback."
Can HLB-infected fruits develop abnormalities?,"Yes, HLB-infected fruits can develop abnormalities such as lopsidedness, aborted seeds, and discolored columellas."
What is fruit color inversion?,Fruit color inversion is a symptom of HLB where the yellowing starts from the peduncular end and the stylar end remains green.
Why do infected groves experience high levels of premature fruit drop?,Infected groves experience high levels of premature fruit drop due to drought conditions and HLB.
How does HLB affect root systems?,"HLB does not directly affect root systems, but infected trees may experience reduced water uptake and nutrient uptake."
What is the impact of HLB on citrus production?,HLB can significantly impact citrus production by reducing tree productivity and leading to premature tree death.
Can HLB be controlled?,"There is no known cure for HLB, but management practices such as pruning, sanitation, and chemical control can help reduce the spread of the disease."
How is HLB transmitted?,"HLB is transmitted by the Asian citrus psyllid, which feeds on sap from infected trees and spreads the bacteria."
What is the importance of early detection of HLB?,Early detection of HLB is crucial to prevent the spread of the disease and reduce the impact on citrus production.
How does HLB affect tree growth?,"HLB can cause perturbed assimilate partitioning, leading to reduced tree growth and productivity."
What is the economic impact of HLB?,"HLB has significant economic impacts on citrus production, including reduced yields, increased costs of management, and losses in revenue."
What is a common issue with citrus trees affected by Huanglongbing (HLB)?,They have severely reduced numbers of fibrous roots and increased susceptibility to Phytophthora.
What happens to citrus trees with HLB over time?,"Symptoms become severe, branches die, and tree decline is evident."
What is the typical appearance of HLB-symptomatic trees in groves?,Skeletonized trees.
When was the association of Liberibacters with HLB first discovered?,In 1970 using TEM.
What was the primary method used to prove the association of Liberibacters with HLB before the 1990s?,Transmission Electron Microscopy (TEM).
What diagnostic tools are now used to identify HLB?,PCR-based diagnostics.
What are the characteristics of ribosomal protein and 16SrDNA genes used in HLB diagnosis?,They are used for characterization and molecular techniques.
What is the name of the bacteria associated with HLB?,Liberibacters.
What is the scientific name of the most common species of Liberibacters causing HLB?,Ca. Liberibacter asiaticus.
"What is the name of the symptoms of HLB in sweet orange, Rangpur lime, and Tahiti lime?",Blotchy mottle.
What is the appearance of HLB symptoms in Valencia fruit?,"Aborted seeds, misshapen, and discolored columellas."
What is the name of the symptoms of HLB in grapefruit?,Corky veins and misshapen fruit.
What is the name of the fungal disease that is more common in HLB-affected trees?,Phytophthora.
What is the consequence of HLB on the growth of citrus trees?,Tree decline.
What is the typical appearance of HLB symptoms in citrus leaves?,Blotchy mottle.
When was the etiology of HLB characterized?,In the 1970s.
What is the main cause of HLB?,Liberibacters.
What is the name of the technique used to detect HLB?,PCR (Polymerase Chain Reaction).
What is the name of the gene used in HLB diagnosis?,16SrDNA genes.
What is the name of the symptoms of HLB in orange?,Corky veins and misshapen fruit.
What is the name of the symptoms of HLB in lime?,Blotchy mottle.
What is the name of the disease that is caused by Liberibacters?,Huanglongbing (HLB).
What is the term used to describe the inability to culture certain bacteria?,Candidatus
What is the name of the bacteria that causes citrus canker?,Ca. Liberibacter spp.
What is the name of the sieve elements where the bacteria were found?,Liberibacter
Why were attempts to raise monoclonal antibodies from infected tissues unsuccessful?,Because the bacteria cannot be grown in axenic cultures.
What is the name of the diagnostic test that uses DNA probes for detection and identification?,PCR
What is the most common method used for PCR detection and identification?,Based on the detection of 16S and ribosomal protein genes
What is the term for a PCR technique that quantifies the amount of DNA present?,qPCR
What is the name of the technique used to detect and quantify Liberibacter cells in plant tissues?,qPCR
What is the estimated average highest titer of Las in individual psyllids?,6.3×108
What is the estimated average highest titer of Lam in 1g of tissue of sweet orange and orange jasmine leaves?,3.2×106 and 2×104
What is the name of the technique used to detect Liberibacter cells in plant tissues using fluorescent dyes?,FISH
What is the name of the technique used for loop-mediated isothermal amplification?,LAMP
What is the advantage of LAMP-based diagnostic tests?,Reduced cost of equipment
What is the concern with LAMP-based diagnostic tests?,Lack of specificity and single-target detection
What is the name of the technique that can detect multiple pathogens in a single test?,Conventional PCR
What is the advantage of conventional PCR?,Reduced initial costs
What is the consensus among publications on the diagnosis of HLB?,Liberibacters are the most frequently encountered causal agent of HLB
"What other agent can elicit HLB symptoms, in addition to Liberibacters?",Phytoplasmas
What crop family was found to be infected with Ca. L. solanacearum?,Solanaceae
"What crops were found to be infected with Ca. L. solanacearum, in addition to Solanaceae?",Carrots and celery
What is the genus of bacteria found as an asymptomatic endophyte of pear trees?,Liberibacter.
What is the first axenically cultivated member of the Liberibacter genus?,Liberibacter crescens.
Why are most Liberibacters difficult to culture?,Due to the loss of the glyoxylase pathway and the presence of phage that are repressed by host factors.
What is noteworthy about the diversity of Liberibacter at the subspecies or haplotype level in Africa?,It is noteworthy because some subspecies have been found in non-citrus hosts.
What are the hosts of Laf subsp. capensis?,Citrus trees and cape chestnut (Calodendrum capense).
What are the hosts of Laf subsp. clauseane?,Clausena anisata.
What are the hosts of Laf subsp. vepridis?,Vepris lanceolata.
What are the hosts of Laf subsp. zanthoxyli?,Zanthoxylum capense.
What are the hosts of Laf subsp. tecleae?,Teclea gerrardii.
What is the characteristic pattern of single nucleotide polymorphisms (SNPs) found in LafCl ex citrus?,A specific pattern of SNPs.
Why are the widely used 16S PCR primers used for Las identification incorrect?,"Because they incorrectly identify LafCl ex citrus, LafCl, LafV, and LafZ as Las or Laf."
"What is the prevalent species in HLB samples from Brazil, China, and the United States?",Las.
Why is the incidence of Lam decreasing in Brazil?,Due to lower titer levels in citrus tissues that reduce the chances of being acquired and transmitted by psyllids.
Can Las and Lam be transmitted to tobacco and periwinkle?,Yes.
What is the restriction of Ca. Liberibacter spp. to phloem sieve tubes in citrus?,It is restricted to phloem sieve tubes.
What is the characteristic of periwinkle in maintaining Liberibacter isolates?,Periwinkles have allowed the maintenance of isolates in a smaller space than citrus.
What is the heat tolerance of Las compared to Lam and Laf?,Las is exceptionally more heat tolerant than Lam and Laf.
How do Ca. Liberibacter spp. multiply in sieve tubes of infected plant hosts?,They multiply by squeezing from sieve cell to sieve cell through sieve pores.
What is the consequence of the development of an intracellular lifestyle in Ca. Liberibacter spp.?,It is necessary to avoid and suppress the triggering of innate immune responses by any host.
What are the examples of pathogen-associated molecular patterns (PAMPs) recognized by the innate immune systems in eukaryotic hosts?,"Examples include flagellin, lipopolysaccharides (LPS), and enzymes that synthesize these triggers."
What are some common bacterial pathogens that affect citrus crops?,"Citrus canker, citrus variegated chlorosis, and Huanglongbing (HLB) are some common bacterial pathogens that affect citrus crops."
"What is LPS, and how does it affect eukaryotic cells?","LPS (lipopolysaccharide) is a component of the bacterial outer membrane that serves as a protective barrier against plant antimicrobial compounds, making eukaryotic cells more susceptible to bacterial infection."
Why do intracellular pathogenic bacteria have reduced genome sizes?,The reduction in genome size is likely driven by selection pressure to remove genes encoding PAMPs (pathogen-associated molecular patterns) that trigger plant defense responses.
How does Las suppress citrus defense reactions?,Las suppresses citrus defense reactions by producing a phage-encoded peroxidase and two chromosomally encoded peroxiredoxins that detoxify host-generated H2O2 and prevent apoptosis.
What is the role of Las peroxiredoxin in citrus defense suppression?,"Las peroxiredoxin is a secreted effector that detoxifies host-generated H2O2, limits lipid peroxidation events, and dampens systemic defense signaling in the host plant."
Why do Las and Lam have different multiplication rates in citrus?,"Las multiplies to 10-fold higher titers in citrus than Lam, but Lam elicits more severe symptoms of HLB despite lower titer."
How does Las transmission by grafting differ from Lam transmission?,"Las can be transmitted by grafting with high efficiency, while Lam transmission by grafting is usually lower than 50%."
What is the relationship between Las titer and psyllid transmission?,"Las titer in citrus influences psyllid transmission, with higher titers leading to more efficient transmission."
Can Lam be transmitted to Murraya spp.?,"Yes, Lam can be transmitted to Murraya spp., which is a good host for Lam acquisition and transmission to sweet orange plants."
What is the difference between the genomes of Las and Lam?,"Las has a slightly larger genome size than Lam, and both have a GC% of 35.4%, while Lam has a GC% of 31.1%."
What is the significance of prophages in pathogenic Ca. Liberibacters?,Prophages in pathogenic Ca. Liberibacters encode genes that help the bacteria infect and colonize host plants.
How do prophages contribute to plant infections?,Prophages encode genes that can functionally suppress plant defenses and are horizontally acquired lysogenic conversion factors that benefit plant infections.
What is the role of the peroxidase in plant infections?,The peroxidase is a secreted effector that detoxifies host-generated H2O2 and is a horizontally acquired lysogenic conversion factor that benefits plant infections.
Can Las phage gene expression be suppressed in psyllids?,"Yes, suppression of Las phage gene expression appears to be critically important in psyllid hosts."
What is the significance of comparative genomics in understanding plant infections?,Comparative genomics helps identify horizontally acquired gene additions and metabolic pathway analyses that contribute to plant infections.
What is the role of L. crescens in understanding plant infections?,L. crescens is a non-pathogenic Liberibacter species that helps us understand the evolution of pathogenic Ca. Liberibacters.
How does L. crescens differ from pathogenic Ca. Liberibacters?,"L. crescens has a slightly larger genome size and is not known to be pathogenic, unlike pathogenic Ca. Liberibacters."
What is the significance of genome reduction in intracellular pathogenic bacteria?,Genome reduction is likely driven by selection pressure to remove genes encoding PAMPs that trigger plant defense responses.
How do Las and Lam differ in their interactions with eukaryotic cells?,"Las and Lam have different interactions with eukaryotic cells, with Las being more efficient at suppressing citrus defense reactions and Lam eliciting more severe symptoms of HLB."
What is the significance of understanding the genomics of plant pathogens?,Understanding the genomics of plant pathogens helps us develop effective strategies for managing and controlling plant diseases.
What is the trend observed in the chromosomal genomes of citrus?,"Reduction or complete absence of multiple biosynthetic pathways, including glycolysis and glyoxylase."
Why is it difficult to obtain sustainable axenic cultures of Ca. Liberibacters?,Because of the absence of multiple biosynthetic pathways in their genomes.
What is the main vector of Huanglongbing (HLB)?,The psyllid (Las-infected insect vector).
How long can a Las-infected tree and the Las that infects it remain alive without symptoms?,"For many years, due to the long incubation period."
How long does it take for the transmission of Las from citrus to psyllid and back again?,"The latency period is measured in weeks, and the multiplication of infected psyllid vectors is explosive."
What is the importance of early detection in HLB management?,Early detection is critical to prevent the rapid spread of the disease in asymptomatic trees.
Where is T. erytreae found?,"In the Mediterranean basin, although the bacteria are not present."
Why is the absence of HLB and its vectors a great advantage in citriculture?,Because it allows for the success and sustainability of citriculture.
How can Las be transmitted?,"Through psyllid transmission, and possibly through infected budwood during citrus propagation."
What should be done to restrict the imports of propagative citrus material?,Strict quarantine measures should be applied to restrict imports from certified regions or certified plants free of psyllids and Liberibacters.
Why is quarantine important in HLB management?,To prevent the spread of the disease and its vectors.
